fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
73;72;72;78,04;80,87728645190805;5,341028188341384;-2,8372864519080423;2,8372864519080423;8,050194410180927;2,8372864519080423;75,53625826356667;5705,726312460243;127,167337817652;63,526073678007414;47,65561560945377;3967,6145171384114;50,0;20,0;448,75;2,56;560,0;12234,0
51;50;50;75,26;77,90794901051187;12,692373801521411;-2,6479490105118657;2,6479490105118657;7,011633962270769;2,6479490105118657;65,21557520899046;4253,0712498394905;302,1993762267002;64,29205743257702;47,66532380718448;4156,683406348138;50,0;20,0;437,17;2,82;560,0;11944,0
21;20;20;95,83;98,33987737290771;95,6211061078113;-2,5098773729077095;2,5098773729077095;6,2994844270341055;2,5098773729077095;2,7187712650964073;7,391717191913919;219,5194982051715;68,66418815974727;47,686064478296366;5244,530920362726;15,05;6,2;522,37;1,47;168,0;13897,33
98;97;97;99,94;97,61831323646824;0,5840962885422548;2,3216867635317584;2,3216867635317584;5,390229427958571;2,3216867635317584;97,03421694792598;9415,639258697167;57,04185571817484;75,26263678684698;47,64002187162613;6905,653728805211;100,82;40,34;538,61;1,32;1120,0;15539,0
44;43;43;81,24;83,46696301395117;13,480034024626333;-2,2269630139511776;2,2269630139511776;4,959364265506513;2,2269630139511776;69,98692898932484;4898,170229356798;27,876242413174687;67,13128102664813;47,701464268673234;4857,454189493724;14,92;5,91;506,0;3,52;168,0;12069,34
28;27;27;103,09;105,3104244830098;20,48153815498791;-2,2204244830097934;2,2204244830097934;4,930284884749309;2,2204244830097934;84,8288863280219;7195,9399556524595;46,29180815774117;76,10296060920524;47,71352984023812;7097,357692241782;15,01;6,16;541,73;1,31;168,0;17255,49
46;45;45;105,59;107,79359743622538;3,1628355830708053;-2,2035974362253796;2,2035974362253796;4,855841660939066;2,2035974362253796;104,63076185315458;10947,596325971548;75,12499988674178;74,2036603409886;47,67853754647595;6631,280698628164;49,93;19,99;558,76;1,31;560,0;18579,96
67;66;66;101,68;99,50281362875486;8,166120630782785;2,177186371245142;2,177186371245142;4,74014049513559;2,177186371245142;91,33669299797208;8342,391487805802;194,4314435900663;69,4163122674023;47,73621782989079;5420,023609377878;50,0;20,0;529,28;1,22;560,0;14446,0
18;17;17;91,08;88,91819254910808;19,95613451403144;2,1618074508919136;2,1618074508919136;4,673411454731793;2,1618074508919136;68,96205803507664;4755,765448433278;43,82327607129125;76,34877627092789;47,7009427129797;7161,958389487045;14,97;6,08;464,23;2,09;168,0;14759,68
86;85;85;85,53;87,61648497794066;1,736643567928293;-2,086484977940657;2,086484977940657;4,353419563172023;2,086484977940657;85,87984141001236;7375,347160608874;167,08509496280112;70,41353264786532;47,6785022417938;5683,75760151788;100,77;40,05;499,48;1,5;1120,0;12387,0
35;34;34;116,7;118,78316922345348;173,1453755687833;-2,0831692234534813;2,0831692234534813;4,33959401354378;2,0831692234534813;-54,36220634532981;2955,2494787322166;298,22117967259527;64,59724963183105;47,69127658920866;4226,493260655595;14,94;5,39;630,97;1,66;168,0;24145,24
83;82;82;80,6;82,65688180897936;1,6052599370798724;-2,0568818089793695;2,0568818089793695;4,230762776110243;2,0568818089793695;81,05162187189948;6569,365408065375;148,21575956013015;71,1274840365785;47,65170181576386;5868,945555203659;101,1;39,17;501,92;1,78;1120,0;14118,0
59;58;58;109,62;107,56766119928908;3,1392659658183697;2,0523388007109276;2,0523388007109276;4,212094552903569;2,0523388007109276;104,42839523347071;10905,289731037969;74,74442775758023;64,36311311191413;47,75407207560516;4152,260259077244;50,0;20,0;572,88;0,88;560,0;15530,0
68;67;67;77,28;79,27911372519723;12,761738337204022;-1,9991137251972333;1,9991137251972333;3,9964556862719594;1,9991137251972333;66,51737538799321;4424,561228507205;303,85091279057195;64,40437305975371;47,70148144092417;4175,722904707386;50,0;20,0;434,83;2,45;560,0;11808,0
85;84;84;106,94;104,97137111318688;0,3131095578793032;1,9686288868131214;1,9686288868131214;3,8754996939950694;1,9686288868131214;104,65826155530758;10953,351711779173;29,95113658508097;66,45749562445826;47,69959807197495;4689,474388120827;101,35;39,82;615,31;1,06;1120,0;17797,0
31;30;30;101,48;103,28636007642055;19,115794882951874;-1,806360076420546;1,806360076420546;3,262936725686041;1,806360076420546;84,17056519346868;7084,68404498796;40,499745734048076;66,19116694013111;47,71327115682204;4619,473945827267;14,98;5,97;535,16;1,45;168,0;17419,49
92;91;91;88,29;86,52081379900203;1,7188487926750016;1,7691862009979786;1,7691862009979786;3,13001981380166;1,7691862009979786;84,80196500632702;7191,373268934313;165,38318951211699;70,47408283792267;47,6856984992219;5697,096084675192;101,18;39,97;493,74;1,22;1120,0;13257,0
81;80;80;89,0;90,6745575352464;0,5971313757123947;-1,674557535246393;1,674557535246393;2,804142938850475;1,674557535246393;90,077426159534;8113,9427035263;57,15424485680334;64,96448157820106;47,66269748080248;4325,446024349645;100,4;40,02;486,21;1,14;1120,0;13331,0
2;1;1;81,64;83,20218245185369;68,0770391848412;-1,5621824518536869;1,5621824518536869;2,4404140128795966;1,5621824518536869;15,12514326701249;228,76995884765324;150,93652116410507;63,61866245472047;47,755094014507904;3965,892110053142;15,52;6,0;451,31;1,69;168,0;12021,06
32;31;31;83,19;81,70966705181145;26,512892440066047;1,480332948188547;1,480332948188547;2,1913856374925955;1,480332948188547;55,196774611745404;3046,683927539822;52,26425222990903;75,87484325668656;47,72870113326493;7036,535530855409;15,13;5,73;432,47;1,97;168,0;13518,47
26;25;25;107,74;106,39932260179577;52,54185165772922;1,340677398204221;1,340677398204221;1,7974158860556395;1,340677398204221;53,857470944066556;2900,6271764909734;107,7718495299712;72,76367246891081;47,71578534662743;6261,971780570846;15,26;5,82;549,49;1,03;168,0;19084,85
88;87;87;82,85;84,03034801957924;3,1045398731913765;-1,1803480195792417;1,1803480195792417;1,393221447324638;1,1803480195792417;80,92580814638787;6548,986424145976;297,0552585378366;65,62452771800868;47,708921952768705;4478,901441309992;100,72;39,95;495,76;2,2;1120,0;13002,0
77;76;76;91,21;90,07554165514513;3,024992330870747;1,1344583448548633;1,1344583448548633;1,286995736210836;1,1344583448548633;87,05054932427439;7577,798137657927;291,04192809643104;65,95713014967906;47,7122146372557;4561,228878105841;100,57;40,09;497,6;1,76;1120,0;14951,0
23;22;22;92,26;91,19275059151724;37,37061795929547;1,0672494084827662;1,0672494084827662;1,1390212999068143;1,0672494084827662;53,822132632221766;2896,8219610804713;85,06146084051078;73,92806729193963;47,73098066638151;6549,271656389529;14,97;6,19;481,59;1,31;168,0;10995,04
90;89;89;83,18;84,18814032183005;1,2870060974391742;-1,0081403218300409;1,0081403218300409;1,0163469084995784;1,0081403218300409;82,90113422439087;6872,5980556904715;120,6529740505225;72,23884255287501;47,69247368799055;6136,592216221114;100,84;39,52;496,84;1,79;1120,0;13614,0
55;54;54;100,17;99,20650246782098;1,7207666278211604;0,9634975321790193;0,9634975321790193;0,9283274945150605;0,9634975321790193;97,48573583999982;9503,468692266226;40,97063399574191;76,48984157997845;47,77810373450159;7177,934461369214;50,0;20,0;517,97;0,95;560,0;14134,0
10;9;9;94,63;95,52888686030212;23,32974754764304;-0,8988868603021274;0,8988868603021274;0,8079975876238162;0,8988868603021274;72,19913931265909;5212,715717488754;51,032309104229455;75,87800044539489;47,7516693641509;7031,582770310997;15,06;6,05;496,9;1,7;168,0;15875,67
61;60;60;87,15;86,29499433194401;1,104464791949509;0,8550056680559948;0,8550056680559948;0,7310346924078779;0,8550056680559948;85,1905295399945;7257,426323304676;26,296780760702593;67,0626607335806;47,76110026818962;4825,390116347746;50,0;20,0;454,33;1,62;560,0;12349,0
7;6;6;76,05;76,86193730835886;65,46723179217756;-0,8119373083588641;0,8119373083588641;0,6592421927050373;0,8119373083588641;11,394705516181304;129,83931380049265;144,62824913455572;63,66949895847886;47,78249735363809;3971,7504012101926;15,62;5,97;429,36;1,94;168,0;10444,71
63;62;62;82,61;83,3395970725033;3,2762615789667344;-0,7295970725032959;0,7295970725032959;0,5323118882053796;0,7295970725032959;80,06333549353656;6410,137690350591;78,00622807063652;74,31807246353101;47,75009403191157;6641,994607904859;50,0;20,0;439,93;1,8;560,0;12009,0
14;13;13;98,92;98,52323384948622;22,896542952033126;0,39676615051378405;0,39676615051378405;0,15742337819352675;0,39676615051378405;75,62669089745309;5719,396376098914;48,6060897524589;65,7682291857392;47,74820390082998;4505,006321227307;14,86;6,0;502,75;1,3;168,0;15324,74
57;56;56;95,38;95,05801626304404;2,7295869334589242;0,32198373695595706;0,32198373695595706;0,10367352686412294;0,32198373695595706;92,32842932958512;8524,538862468195;64,99016508235533;64,78266507378683;47,76368699597117;4254,744519453914;50,0;20,0;513,31;1,64;560,0;13995,0
43;42;42;70,27;70,51045690164943;91,19939879376214;-0,24045690164943778;0,24045690164943778;0,057819521550847394;0,24045690164943778;-20,68894189211271;428,0323166152162;199,85762289515722;63,370431333025365;47,739450847282356;3907,7451214357534;14,89;6,09;417,9;3,04;168,0;6991,54
